
2025/04/10 (15:15:37) | ===> btop++ v.1.4.0
2025/04/10 (15:15:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (15:15:46) | ===> btop++ v.1.4.0
2025/04/10 (15:15:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (15:33:34) | ===> btop++ v.1.4.0
2025/04/10 (15:33:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/10 (15:33:48) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (15:33:57) | ===> btop++ v.1.4.0
2025/04/10 (15:33:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/10 (15:34:01) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (16:17:20) | ===> btop++ v.1.4.0
2025/04/10 (16:17:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (00:15:07) | ===> btop++ v.1.4.0
2025/04/11 (00:15:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:41:04) | ===> btop++ v.1.4.0
2025/04/11 (03:41:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:45:29) | ===> btop++ v.1.4.0
2025/04/11 (03:45:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:49:17) | ===> btop++ v.1.4.0
2025/04/11 (03:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:49:23) | ===> btop++ v.1.4.0
2025/04/11 (03:49:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:49:26) | ===> btop++ v.1.4.0
2025/04/11 (03:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:52:08) | ===> btop++ v.1.4.0
2025/04/11 (03:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (03:53:10) | ===> btop++ v.1.4.0
2025/04/11 (03:53:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (16:49:43) | ===> btop++ v.1.4.0
2025/04/11 (16:49:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:39:20) | ===> btop++ v.1.4.0
2025/04/11 (17:39:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:40:14) | ===> btop++ v.1.4.0
2025/04/11 (17:40:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:48:32) | ===> btop++ v.1.4.0
2025/04/11 (17:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:49:26) | ===> btop++ v.1.4.0
2025/04/11 (17:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:49:53) | ===> btop++ v.1.4.0
2025/04/11 (17:49:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (17:50:43) | ===> btop++ v.1.4.0
2025/04/11 (17:50:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (18:30:30) | ===> btop++ v.1.4.0
2025/04/11 (18:30:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (18:32:27) | ===> btop++ v.1.4.0
2025/04/11 (18:32:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (03:41:30) | ===> btop++ v.1.4.0
2025/04/12 (03:41:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (03:50:40) | ===> btop++ v.1.4.0
2025/04/12 (03:50:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/12 (04:05:05) | WARNING: Failed to join _runner thread on exit!

2025/04/12 (04:07:21) | ===> btop++ v.1.4.0
2025/04/12 (04:07:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (04:13:08) | ===> btop++ v.1.4.0
2025/04/12 (04:13:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (04:13:17) | ===> btop++ v.1.4.0
2025/04/12 (04:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:37:35) | ===> btop++ v.1.4.0
2025/04/12 (13:37:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:42:38) | ===> btop++ v.1.4.0
2025/04/12 (13:42:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:51:13) | ===> btop++ v.1.4.0
2025/04/12 (13:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:51:24) | ===> btop++ v.1.4.0
2025/04/12 (13:51:24) | WARNING: Intel GPU: Failed to initialize PMU
